,mmsi,position,lon,lat,tstamp,speed
0,222222222,"[26.93381, 35.10371]",26.93381,35.10371,2023-06-01 00:38:00,18.8
1,222222222,"[27.23632, 34.90519]",27.23632,34.90519,2023-06-01 01:38:00,19.0
2,222222222,"[27.53622, 34.70786]",27.53622,34.70786,2023-06-01 02:37:00,19.2
3,222222222,"[27.83608, 34.51014]",27.83608,34.51014,2023-06-01 03:37:00,19.2
4,222222222,"[28.13998, 34.30915]",28.13998,34.30915,2023-06-01 04:36:00,19.4
5,222222222,"[28.44414, 34.10754]",28.44414,34.10754,2023-06-01 05:36:00,19.8
6,222222222,"[28.75637, 33.9001]",28.75637,33.9001,2023-06-01 06:36:00,19.6
7,222222222,"[29.06272, 33.69602]",29.06272,33.69602,2023-06-01 07:36:00,19.4
8,222222222,"[29.36212, 33.496]",29.36212,33.496,2023-06-01 08:35:00,19.1
9,222222222,"[29.66293, 33.29478]",29.66293,33.29478,2023-06-01 09:35:00,19.3
10,222222222,"[29.95015, 33.10215]",29.95015,33.10215,2023-06-01 10:34:00,18.7
11,222222222,"[30.24237, 32.90561]",30.24237,32.90561,2023-06-01 11:34:00,18.4
12,222222222,"[30.52699, 32.71391]",30.52699,32.71391,2023-06-01 12:34:00,18.6
13,222222222,"[30.81, 32.52167]",30.81,32.52167,2023-06-01 13:33:00,18.0
14,222222222,"[31.11, 32.31833]",31.11,32.31833,2023-06-01 14:36:00,18.0
15,222222222,"[31.39117, 32.12546]",31.39117,32.12546,2023-06-01 15:36:00,18.8
16,222222222,"[31.69901, 31.91941]",31.69901,31.91941,2023-06-01 16:41:00,17.9
17,222222222,"[31.96344, 31.73873]",31.96344,31.73873,2023-06-01 17:41:00,16.1
18,222222222,"[32.18297, 31.54996]",32.18297,31.54996,2023-06-01 18:44:00,14.2
19,222222222,"[32.38041, 31.47542]",32.38041,31.47542,2023-06-01 19:44:00,7.8
20,222222222,"[32.42453, 31.4783]",32.42453,31.4783,2023-06-01 20:45:00,0.0
21,222222222,"[32.425, 31.47833]",32.425,31.47833,2023-06-01 21:45:00,0.0
22,222222222,"[32.42467, 31.47834]",32.42467,31.47834,2023-06-01 22:48:00,0.0
23,222222222,"[32.42507, 31.47843]",32.42507,31.47843,2023-06-01 23:48:00,0.0
24,222222222,"[32.42474, 31.47831]",32.42474,31.47831,2023-06-02 00:47:00,0.0
25,222222222,"[32.42333, 31.47667]",32.42333,31.47667,2023-06-02 01:48:00,0.0
26,222222222,"[32.42395, 31.47697]",32.42395,31.47697,2023-06-02 02:48:00,0.1
27,222222222,"[32.41037, 31.44614]",32.41037,31.44614,2023-06-02 03:53:00,7.3
28,222222222,"[32.37304, 31.32198]",32.37304,31.32198,2023-06-02 04:54:00,6.1
29,222222222,"[32.33338, 31.18419]",32.33338,31.18419,2023-06-02 05:59:00,9.0
30,222222222,"[32.31001, 31.03703]",32.31001,31.03703,2023-06-02 06:58:00,9.1
31,222222222,"[32.315, 30.88333]",32.315,30.88333,2023-06-02 08:00:00,9.0
32,222222222,"[32.33, 30.735]",32.33,30.735,2023-06-02 09:00:00,9.0
33,222222222,"[32.315, 30.60167]",32.315,30.60167,2023-06-02 10:00:00,5.0
34,222222222,"[32.34741, 30.46652]",32.34741,30.46652,2023-06-02 11:01:00,9.1
35,222222222,"[32.44821, 30.27694]",32.44821,30.27694,2023-06-02 12:16:00,9.2
36,222222222,"[32.56907, 30.1713]",32.56907,30.1713,2023-06-02 13:15:00,10.7
37,222222222,"[32.5838, 29.99627]",32.5838,29.99627,2023-06-02 14:15:00,9.8
38,222222222,"[32.55143, 29.86407]",32.55143,29.86407,2023-06-02 15:14:00,10.1
39,222222222,"[32.53163, 29.60913]",32.53163,29.60913,2023-06-02 16:14:00,18.4
40,222222222,"[32.66771, 29.32375]",32.66771,29.32375,2023-06-02 17:14:00,18.5
41,222222222,"[32.80022, 29.03869]",32.80022,29.03869,2023-06-02 18:14:00,18.7
42,222222222,"[32.92473, 28.73204]",32.92473,28.73204,2023-06-02 19:16:00,18.0
43,222222222,"[33.08638, 28.45158]",33.08638,28.45158,2023-06-02 20:19:00,18.4
44,222222222,"[33.305, 28.15833]",33.305,28.15833,2023-06-02 21:27:00,18.0
45,222222222,"[33.57833, 27.93833]",33.57833,27.93833,2023-06-02 22:30:00,18.0
46,222222222,"[33.83667, 27.70167]",33.83667,27.70167,2023-06-02 23:33:00,18.0
47,222222222,"[34.08, 27.47167]",34.08,27.47167,2023-06-03 00:33:00,18.0
48,222222222,"[34.31489, 27.22886]",34.31489,27.22886,2023-06-03 01:35:00,18.5
49,222222222,"[34.53206, 26.99384]",34.53206,26.99384,2023-06-03 02:34:00,18.5
50,222222222,"[34.75313, 26.75391]",34.75313,26.75391,2023-06-03 03:34:00,18.7
51,222222222,"[34.97747, 26.49674]",34.97747,26.49674,2023-06-03 04:36:00,19.1
52,222222222,"[35.20667, 26.26667]",35.20667,26.26667,2023-06-03 05:36:00,17.0
53,222222222,"[35.40422, 26.04428]",35.40422,26.04428,2023-06-03 06:36:00,16.9
54,222222222,"[35.60674, 25.82259]",35.60674,25.82259,2023-06-03 07:36:00,17.0
55,222222222,"[35.80325, 25.60704]",35.80325,25.60704,2023-06-03 08:36:00,16.9
56,222222222,"[36.00319, 25.38763]",36.00319,25.38763,2023-06-03 09:36:00,17.2
57,222222222,"[36.21667, 25.15]",36.21667,25.15,2023-06-03 10:39:00,16.0
58,222222222,"[36.42612, 24.92152]",36.42612,24.92152,2023-06-03 11:41:00,17.2
59,222222222,"[36.62973, 24.69666]",36.62973,24.69666,2023-06-03 12:41:00,17.8
60,222222222,"[36.83906, 24.46507]",36.83906,24.46507,2023-06-03 13:40:00,17.9
61,222222222,"[37.05239, 24.22849]",37.05239,24.22849,2023-06-03 14:42:00,17.5
62,222222222,"[37.28838, 23.96626]",37.28838,23.96626,2023-06-03 15:50:00,18.3
63,222222222,"[37.48557, 23.72775]",37.48557,23.72775,2023-06-03 16:50:00,17.8
64,222222222,"[37.69301, 23.49913]",37.69301,23.49913,2023-06-03 17:49:00,17.9
65,222222222,"[37.90296, 23.27562]",37.90296,23.27562,2023-06-03 18:49:00,17.3
66,222222222,"[38.1015, 23.05861]",38.1015,23.05861,2023-06-03 19:48:00,16.9
67,222222222,"[38.29313, 22.84385]",38.29313,22.84385,2023-06-03 20:47:00,16.7
68,222222222,"[38.48478, 22.6287]",38.48478,22.6287,2023-06-03 21:47:00,16.6
69,222222222,"[38.6698, 22.42074]",38.6698,22.42074,2023-06-03 22:46:00,15.7
70,222222222,"[38.78685, 22.2729]",38.78685,22.2729,2023-06-03 23:46:00,5.5
71,222222222,"[38.84956, 22.25507]",38.84956,22.25507,2023-06-04 00:46:00,1.6
72,222222222,"[38.93375, 22.35031]",38.93375,22.35031,2023-06-04 01:46:00,9.1
73,222222222,"[39.00305, 22.47068]",39.00305,22.47068,2023-06-04 02:48:00,4.5
74,222222222,"[39.01123, 22.47902]",39.01123,22.47902,2023-06-04 03:49:00,0.0
75,222222222,"[39.08638, 22.52156]",39.08638,22.52156,2023-06-04 04:49:00,3.7
76,222222222,"[39.09624, 22.52574]",39.09624,22.52574,2023-06-04 05:50:00,0.1
77,222222222,"[39.0962, 22.52569]",39.0962,22.52569,2023-06-04 06:51:00,0.0
78,222222222,"[39.09629, 22.52576]",39.09629,22.52576,2023-06-04 07:50:00,0.0
79,222222222,"[39.09624, 22.52574]",39.09624,22.52574,2023-06-04 08:50:00,0.0
80,222222222,"[39.09627, 22.52574]",39.09627,22.52574,2023-06-04 09:50:00,0.0
81,222222222,"[39.09624, 22.52575]",39.09624,22.52575,2023-06-04 10:50:00,0.0
82,222222222,"[39.09636, 22.52578]",39.09636,22.52578,2023-06-04 11:50:00,0.0
83,222222222,"[39.095, 22.525]",39.095,22.525,2023-06-04 12:54:00,0.0
84,222222222,"[39.09631, 22.52578]",39.09631,22.52578,2023-06-04 13:53:00,0.0
85,222222222,"[39.09627, 22.52575]",39.09627,22.52575,2023-06-04 14:53:00,0.0
86,222222222,"[39.095, 22.525]",39.095,22.525,2023-06-04 16:00:00,0.0
87,222222222,"[39.09629, 22.52572]",39.09629,22.52572,2023-06-04 17:03:00,0.0
88,222222222,"[39.09628, 22.52575]",39.09628,22.52575,2023-06-04 18:09:00,0.0
89,222222222,"[39.09632, 22.52579]",39.09632,22.52579,2023-06-04 19:09:00,0.0
90,222222222,"[39.09625, 22.52572]",39.09625,22.52572,2023-06-04 20:12:00,0.0
91,222222222,"[39.09631, 22.52565]",39.09631,22.52565,2023-06-04 21:12:00,0.0
92,222222222,"[39.09621, 22.52572]",39.09621,22.52572,2023-06-04 22:15:00,0.0
93,222222222,"[39.09632, 22.52572]",39.09632,22.52572,2023-06-04 23:18:00,0.0
94,222222222,"[39.095, 22.525]",39.095,22.525,2023-06-05 00:18:00,0.0
95,222222222,"[39.09629, 22.52581]",39.09629,22.52581,2023-06-05 01:21:00,0.0
96,222222222,"[39.09627, 22.52578]",39.09627,22.52578,2023-06-05 02:22:00,0.0
97,222222222,"[39.09628, 22.52575]",39.09628,22.52575,2023-06-05 03:22:00,0.0
98,222222222,"[39.09628, 22.52567]",39.09628,22.52567,2023-06-05 04:22:00,0.0
99,222222222,"[39.05453, 22.5085]",39.05453,22.5085,2023-06-05 05:21:00,10.4
100,222222222,"[38.88683, 22.29118]",38.88683,22.29118,2023-06-05 06:20:00,17.2
